full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
70,4174663,231,2021,Actual,Full Year,Register of Wills,2021-06-30,Register of Wills,68,
67,4221694,5641,2022,Actual,Full Year,Register of Wills,2022-06-30,Register of Wills,68,
63,4089933,0,2023,Actual,Full Year,Register of Wills,2023-06-30,Register of Wills,68,
73,4450243,0,2024,Adopted Budget,Full Year,Register of Wills,2024-06-30,Register of Wills,68,
73,4450243,700,2024,Target Budget,Full Year,Register of Wills,2024-06-30,Register of Wills,68,
64,4450243,513,2024,Current Projection,Full Year,Register of Wills,2024-06-30,Register of Wills,68,
386,22277095,85746,2021,Actual,Full Year,Revenue,2021-06-30,Department of Revenue,36,Revenue
328,20432060,339671,2022,Actual,Full Year,Revenue,2022-06-30,Department of Revenue,36,Revenue
327,20382438,398174,2023,Actual,Full Year,Revenue,2023-06-30,Department of Revenue,36,Revenue
401,22626664,465000,2024,Adopted Budget,Full Year,Revenue,2024-06-30,Department of Revenue,36,Revenue
401,22626664,465000,2024,Target Budget,Full Year,Revenue,2024-06-30,Department of Revenue,36,Revenue
341,22626664,366163,2024,Current Projection,Full Year,Revenue,2024-06-30,Department of Revenue,36,Revenue
367,26258562,2799955,2021,Actual,Full Year,Sheriff,2021-06-30,Office of the Sheriff,70,Sheriff
343,26834747,4021949,2022,Actual,Full Year,Sheriff,2022-06-30,Office of the Sheriff,70,Sheriff
328,28108343,5238972,2023,Actual,Full Year,Sheriff,2023-06-30,Office of the Sheriff,70,Sheriff
459,30232235,4000000,2024,Adopted Budget,Full Year,Sheriff,2024-06-30,Office of the Sheriff,70,Sheriff
459,30232235,5700000,2024,Target Budget,Full Year,Sheriff,2024-06-30,Office of the Sheriff,70,Sheriff
318,30232235,6300220,2024,Current Projection,Full Year,Sheriff,2024-06-30,Office of the Sheriff,70,Sheriff
1941,88868951,16469836,2021,Actual,Full Year,Streets,2021-06-30,Streets Department,12,Streets
2072,99660073,17741782,2022,Actual,Full Year,Streets,2022-06-30,Streets Department,12,Streets
2068,110599547,16970691,2023,Actual,Full Year,Streets,2023-06-30,Streets Department,12,Streets
1688,90005569,11282424,2024,Adopted Budget,Full Year,Streets,2024-06-30,Streets Department,12,Streets
1688,89659505,16282424,2024,Target Budget,Full Year,Streets,2024-06-30,Streets Department,12,Streets
1495,89659505,17088340,2024,Current Projection,Full Year,Streets,2024-06-30,Streets Department,12,Streets
