dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Employee Benefits: Pension,732218172,2024,Adopted Budget,Full Year,2023-09-30,Employee Benefits: Pension,35-EB-PEN,
Employee Benefits: FICA,98247674,2024,Adopted Budget,Full Year,2023-09-30,Employee Benefits: FICA,35-EB-FICA,
Employee Benefits: Flex Cash Payments,1688628,2024,Adopted Budget,Full Year,2023-09-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,
Employee Benefits: Health / Medical,576660058,2024,Adopted Budget,Full Year,2023-09-30,Employee Benefits: Health/Medical,35-EB-HM,
Employee Benefits: Group Life Insurance,8760382,2024,Adopted Budget,Full Year,2023-09-30,Employee Benefits: Group Life Insurance,35-EB-GLI,
Employee Benefits: Group Legal,6438177,2024,Adopted Budget,Full Year,2023-09-30,Employee Benefits: Group Legal,35-EB-GL,
Employee Benefits: Tool Allowance,350000,2024,Adopted Budget,Full Year,2023-09-30,Employee Benefits: Tool Allowance,35-EB-TA,
Finance-Hero Scholarship Awards,50000,2024,Adopted Budget,Full Year,2023-09-30,Finance: Hero Scholarship Awards,35-HA,
Finance-Payment to Housing Trust Fund,30612698,2024,Adopted Budget,Full Year,2023-09-30,Finance: Housing Trust Fund,35-HTF,
Finance-Indemnities A,49246000,2024,Adopted Budget,Full Year,2023-09-30,Finance: Indemnities,35-IN,
Finance-Refunds,250000,2024,Adopted Budget,Full Year,2023-09-30,Finance: Refunds,35-R,
Finance-School District Contribution,282052590,2024,Adopted Budget,Full Year,2023-09-30,Finance: School District Contribution,35-SD,
Finance-Witness Fees,180094,2024,Adopted Budget,Full Year,2023-09-30,Finance: Witness Fees,35-WF,
Fire,400794784,2024,Adopted Budget,Full Year,2023-09-30,Fire Department,13,Fire
First Judicial District,129052430,2024,Adopted Budget,Full Year,2023-09-30,First Judicial District,84,FJD
Fleet Services,55253706,2024,Adopted Budget,Full Year,2023-09-30,Office of Fleet Management,25,Fleet
Fleet Services Vehicle Purchases,15359245,2024,Adopted Budget,Full Year,2023-09-30,Fleet: Vehicle Lease/Purchases,25-V,
Free Library,70934523,2024,Adopted Budget,Full Year,2023-09-30,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,2756401,2024,Adopted Budget,Full Year,2023-09-30,Commission on Human Relations,54,Human Relations
Human Services,219709887,2024,Adopted Budget,Full Year,2023-09-30,Department of Human Services,22,DHS
Labor,4768554,2024,Adopted Budget,Full Year,2023-09-30,Labor,03,
Law,28854870,2024,Adopted Budget,Full Year,2023-09-30,Law Department,44,Law
Licenses & Inspections,44257829,2024,Adopted Budget,Full Year,2023-09-30,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,86609,2024,Adopted Budget,Full Year,2023-09-30,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,182543,2024,Adopted Budget,Full Year,2023-09-30,L&I: Board of Review,27,
Managing Director-Base,187205603,2024,Adopted Budget,Full Year,2023-09-30,Managing Director's Office,10,MDO
Managing Director-Citizens Police Oversight Commission,3023642,2024,Adopted Budget,Full Year,2023-09-30,MDO: Citizens Police Oversight Commission,10-CP,
Managing Director-Defender Association,61997780,2024,Adopted Budget,Full Year,2023-09-30,MDO: Legal Services,10-LS,
Mayor's Office,6067744,2024,Adopted Budget,Full Year,2023-09-30,Mayor's Office,05,Mayor
Mayor's Office-Scholarships,100000,2024,Adopted Budget,Full Year,2023-09-30,Mayor's Office: Scholarships,05-S,
Mayor's Office-Comm. Empowerment & Opp.,3449909,2024,Adopted Budget,Full Year,2023-09-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,3683320,2024,Adopted Budget,Full Year,2023-09-30,Mural Arts Program,50,Mural Arts
Office of Behavioral HIth & Intellectual disAbility,29024448,2024,Adopted Budget,Full Year,2023-09-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,18420959,2024,Adopted Budget,Full Year,2023-09-30,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,481098,2024,Adopted Budget,Full Year,2023-09-30,Office of Children and Families,66,OCF
Office of Homeless Services,80556703,2024,Adopted Budget,Full Year,2023-09-30,Office of Homeless Services,24,OHS
Office of Human Resources,12710756,2024,Adopted Budget,Full Year,2023-09-30,Office of Human Resources,56,OHR
Office of Innovation and Technology-Base,96415805,2024,Adopted Budget,Full Year,2023-09-30,Office of Innovation and Technology,04,OIT
Office of Innovation and Technology-911,31855521,2024,Adopted Budget,Full Year,2023-09-30,OIT: 911,04-911,
Office of the Inspector General,2346548,2024,Adopted Budget,Full Year,2023-09-30,Office of the Inspector General,48,OIG
Office of Property Assessment,18310182,2024,Adopted Budget,Full Year,2023-09-30,Office of Property Assessment,59,OPA
Office of Sustainability,2974885,2024,Adopted Budget,Full Year,2023-09-30,Office of Sustainability,49,Sustainability
Parks and Recreation,79418097,2024,Adopted Budget,Full Year,2023-09-30,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,35404422,2024,Adopted Budget,Full Year,2023-09-30,Department of Planning and Development,72,Planning & Development
Police,855831761,2024,Adopted Budget,Full Year,2023-09-30,Police Department,11,Police
Prisons,292774430,2024,Adopted Budget,Full Year,2023-09-30,Philadelphia Prison System,23,Prisons
Procurement,7235722,2024,Adopted Budget,Full Year,2023-09-30,Procurement Department,38,Procurement
Public Health,148736320,2024,Adopted Budget,Full Year,2023-09-30,Department of Public Health,14,Public Health
Public Property,95659168,2024,Adopted Budget,Full Year,2023-09-30,Department of Public Property,20,Public Property
Public Property-SEPTA Subsidy,109567000,2024,Adopted Budget,Full Year,2023-09-30,Public Property: SEPTA Subsidy,20-SS,
Public Property-Space Rentals,37448243,2024,Adopted Budget,Full Year,2023-09-30,Public Property: Space Rentals,20-SR,
Public Property-Utilities,31162103,2024,Adopted Budget,Full Year,2023-09-30,Public Property: Utilities,20-U,
Records,4564421,2024,Adopted Budget,Full Year,2023-09-30,Department of Records,31,Records
Register of Wills,5024798,2024,Adopted Budget,Full Year,2023-09-30,Register of Wills,68,
Revenue,28854507,2024,Adopted Budget,Full Year,2023-09-30,Department of Revenue,36,Revenue
Sheriff,32866448,2024,Adopted Budget,Full Year,2023-09-30,Office of the Sheriff,70,Sheriff
Sinking Fund Commission (Debt Service),324217521,2024,Adopted Budget,Full Year,2023-09-30,Sinking Fund Commission,37,Sinking Fund
Streets-Disposal,55178274,2024,Adopted Budget,Full Year,2023-09-30,Streets: Disposal,12-D,
Streets,107960310,2024,Adopted Budget,Full Year,2023-09-30,Streets Department,12,Streets
Art Museum Subsidy,2142000,2024,Target Budget,Full Year,2023-09-30,Art Museum,34,
Auditing (City Controller's Office),11148245,2024,Target Budget,Full Year,2023-09-30,City Controller's Office,61,
Board of Ethics,1382433,2024,Target Budget,Full Year,2023-09-30,Board of Ethics,45,
Board of Revision of Taxes,1192431,2024,Target Budget,Full Year,2023-09-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),29117650,2024,Target Budget,Full Year,2023-09-30,City Commissioner's Office,73,City Commissioners
City Council,19751418,2024,Target Budget,Full Year,2023-09-30,City Council,01,
City Treasurer,5114652,2024,Target Budget,Full Year,2023-09-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,13573651,2024,Target Budget,Full Year,2023-09-30,Civil Service Commission,55,
Commerce,18545558,2024,Target Budget,Full Year,2023-09-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2024,Target Budget,Full Year,2023-09-30,Commerce: Convention Center Subsidy,42-CC,
Commerce-Economic Stimulus,16334550,2024,Target Budget,Full Year,2023-09-30,Commerce: Economic Stimulus,42-ES,
District Attorney,51119070,2024,Target Budget,Full Year,2023-09-30,District Attorney's Office,69,DAO
Finance,52600924,2024,Target Budget,Full Year,2023-09-30,Office of the Director of Finance,35,Finance
Finance-Budget Stabilization Reserve,42261000,2024,Target Budget,Full Year,2023-09-30,Finance: Budget Stabilization Reserve,35-BSR,
Finance-Disability-Reg #32 Payroll,5200000,2024,Target Budget,Full Year,2023-09-30,Finance: Reg #32,35-R32,
Finance-Recession and Inflation Reserve and Reopening,54000000,2024,Target Budget,Full Year,2023-09-30,Finance: Recession Reserve,35-RR,
Finance-Community College Subsidy,51003181,2024,Target Budget,Full Year,2023-09-30,Finance: Community College Subsidy,35-CC,
Finance -Employee Benefits,1660996026,2024,Target Budget,Full Year,2023-09-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Unemployment Compensation,4468204,2024,Target Budget,Full Year,2023-09-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
Employee Benefits: COVID-19 Funeral Expense,0,2024,Target Budget,Full Year,2023-09-30,Employee Benefits: COVID-19 Funeral Costs,35-COVID,
Employee Benefits: Employee Disability,96192786,2024,Target Budget,Full Year,2023-09-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: Pension Obligation Bonds,135971945,2024,Target Budget,Full Year,2023-09-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,
Employee Benefits: Pension,732218172,2024,Target Budget,Full Year,2023-09-30,Employee Benefits: Pension,35-EB-PEN,
Employee Benefits: FICA,98247674,2024,Target Budget,Full Year,2023-09-30,Employee Benefits: FICA,35-EB-FICA,
Employee Benefits: Flex Cash Payments,1688628,2024,Target Budget,Full Year,2023-09-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,
Employee Benefits: Health / Medical,576660058,2024,Target Budget,Full Year,2023-09-30,Employee Benefits: Health/Medical,35-EB-HM,
Employee Benefits: Group Life Insurance,8760382,2024,Target Budget,Full Year,2023-09-30,Employee Benefits: Group Life Insurance,35-EB-GLI,
Employee Benefits: Group Legal,6438177,2024,Target Budget,Full Year,2023-09-30,Employee Benefits: Group Legal,35-EB-GL,
Employee Benefits: Tool Allowance,350000,2024,Target Budget,Full Year,2023-09-30,Employee Benefits: Tool Allowance,35-EB-TA,
Finance-Hero Scholarship Awards,50000,2024,Target Budget,Full Year,2023-09-30,Finance: Hero Scholarship Awards,35-HA,
Finance-Payment to Housing Trust Fund,30612698,2024,Target Budget,Full Year,2023-09-30,Finance: Housing Trust Fund,35-HTF,
Finance-Indemnities A,49246000,2024,Target Budget,Full Year,2023-09-30,Finance: Indemnities,35-IN,
Finance-Refunds,250000,2024,Target Budget,Full Year,2023-09-30,Finance: Refunds,35-R,
Finance-School District Contribution,282052590,2024,Target Budget,Full Year,2023-09-30,Finance: School District Contribution,35-SD,
Finance-Witness Fees,180094,2024,Target Budget,Full Year,2023-09-30,Finance: Witness Fees,35-WF,
Fire,400794784,2024,Target Budget,Full Year,2023-09-30,Fire Department,13,Fire
First Judicial District,129052430,2024,Target Budget,Full Year,2023-09-30,First Judicial District,84,FJD
Fleet Services,55253706,2024,Target Budget,Full Year,2023-09-30,Office of Fleet Management,25,Fleet
Fleet Services Vehicle Purchases,15359245,2024,Target Budget,Full Year,2023-09-30,Fleet: Vehicle Lease/Purchases,25-V,
Free Library,70934523,2024,Target Budget,Full Year,2023-09-30,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,2756401,2024,Target Budget,Full Year,2023-09-30,Commission on Human Relations,54,Human Relations
Human Services,219709887,2024,Target Budget,Full Year,2023-09-30,Department of Human Services,22,DHS
Labor,4768554,2024,Target Budget,Full Year,2023-09-30,Labor,03,
Law,28854870,2024,Target Budget,Full Year,2023-09-30,Law Department,44,Law
Licenses & Inspections,44257829,2024,Target Budget,Full Year,2023-09-30,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,86609,2024,Target Budget,Full Year,2023-09-30,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,182543,2024,Target Budget,Full Year,2023-09-30,L&I: Board of Review,27,
Managing Director-Base,187205603,2024,Target Budget,Full Year,2023-09-30,Managing Director's Office,10,MDO
Managing Director-Citizens Police Oversight Commission,3023642,2024,Target Budget,Full Year,2023-09-30,MDO: Citizens Police Oversight Commission,10-CP,
Managing Director-Defender Association,61997780,2024,Target Budget,Full Year,2023-09-30,MDO: Legal Services,10-LS,
Mayor's Office,6067744,2024,Target Budget,Full Year,2023-09-30,Mayor's Office,05,Mayor
Mayor's Office-Scholarships,100000,2024,Target Budget,Full Year,2023-09-30,Mayor's Office: Scholarships,05-S,
Mayor's Office-Comm. Empowerment & Opp.,3449909,2024,Target Budget,Full Year,2023-09-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,3683320,2024,Target Budget,Full Year,2023-09-30,Mural Arts Program,50,Mural Arts
Office of Behavioral HIth & Intellectual disAbility,29024448,2024,Target Budget,Full Year,2023-09-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,18420959,2024,Target Budget,Full Year,2023-09-30,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,481098,2024,Target Budget,Full Year,2023-09-30,Office of Children and Families,66,OCF
Office of Homeless Services,80556703,2024,Target Budget,Full Year,2023-09-30,Office of Homeless Services,24,OHS
Office of Human Resources,12710756,2024,Target Budget,Full Year,2023-09-30,Office of Human Resources,56,OHR
Office of Innovation and Technology-Base,96415805,2024,Target Budget,Full Year,2023-09-30,Office of Innovation and Technology,04,OIT
Office of Innovation and Technology-911,31855521,2024,Target Budget,Full Year,2023-09-30,OIT: 911,04-911,
Office of the Inspector General,2346548,2024,Target Budget,Full Year,2023-09-30,Office of the Inspector General,48,OIG
Office of Property Assessment,18310182,2024,Target Budget,Full Year,2023-09-30,Office of Property Assessment,59,OPA
Office of Sustainability,2974885,2024,Target Budget,Full Year,2023-09-30,Office of Sustainability,49,Sustainability
Parks and Recreation,79418097,2024,Target Budget,Full Year,2023-09-30,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,35404422,2024,Target Budget,Full Year,2023-09-30,Department of Planning and Development,72,Planning & Development
Police,855831761,2024,Target Budget,Full Year,2023-09-30,Police Department,11,Police
Prisons,292774430,2024,Target Budget,Full Year,2023-09-30,Philadelphia Prison System,23,Prisons
Procurement,7235722,2024,Target Budget,Full Year,2023-09-30,Procurement Department,38,Procurement
Public Health,148736320,2024,Target Budget,Full Year,2023-09-30,Department of Public Health,14,Public Health
Public Property,95659168,2024,Target Budget,Full Year,2023-09-30,Department of Public Property,20,Public Property
Public Property-SEPTA Subsidy,109567000,2024,Target Budget,Full Year,2023-09-30,Public Property: SEPTA Subsidy,20-SS,
Public Property-Space Rentals,37448243,2024,Target Budget,Full Year,2023-09-30,Public Property: Space Rentals,20-SR,
Public Property-Utilities,31162103,2024,Target Budget,Full Year,2023-09-30,Public Property: Utilities,20-U,
Records,4564421,2024,Target Budget,Full Year,2023-09-30,Department of Records,31,Records
Register of Wills,5024798,2024,Target Budget,Full Year,2023-09-30,Register of Wills,68,
Revenue,28854507,2024,Target Budget,Full Year,2023-09-30,Department of Revenue,36,Revenue
Sheriff,32866448,2024,Target Budget,Full Year,2023-09-30,Office of the Sheriff,70,Sheriff
Sinking Fund Commission (Debt Service),324217521,2024,Target Budget,Full Year,2023-09-30,Sinking Fund Commission,37,Sinking Fund
Streets-Disposal,55178274,2024,Target Budget,Full Year,2023-09-30,Streets: Disposal,12-D,
Streets,107960310,2024,Target Budget,Full Year,2023-09-30,Streets Department,12,Streets
Art Museum Subsidy,2142000,2024,Current Projection,Full Year,2023-09-30,Art Museum,34,
Auditing (City Controller's Office),11148245,2024,Current Projection,Full Year,2023-09-30,City Controller's Office,61,
Board of Ethics,1382433,2024,Current Projection,Full Year,2023-09-30,Board of Ethics,45,
Board of Revision of Taxes,1212431,2024,Current Projection,Full Year,2023-09-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),29117650,2024,Current Projection,Full Year,2023-09-30,City Commissioner's Office,73,City Commissioners
City Council,19751418,2024,Current Projection,Full Year,2023-09-30,City Council,01,
City Treasurer,5114652,2024,Current Projection,Full Year,2023-09-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,12753651,2024,Current Projection,Full Year,2023-09-30,Civil Service Commission,55,
Commerce,21845558,2024,Current Projection,Full Year,2023-09-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2024,Current Projection,Full Year,2023-09-30,Commerce: Convention Center Subsidy,42-CC,
Commerce-Economic Stimulus,15834550,2024,Current Projection,Full Year,2023-09-30,Commerce: Economic Stimulus,42-ES,
District Attorney,54119070,2024,Current Projection,Full Year,2023-09-30,District Attorney's Office,69,DAO
Finance,55472924,2024,Current Projection,Full Year,2023-09-30,Office of the Director of Finance,35,Finance
Finance-Budget Stabilization Reserve,42261000,2024,Current Projection,Full Year,2023-09-30,Finance: Budget Stabilization Reserve,35-BSR,
Finance-Disability-Reg #32 Payroll,5200000,2024,Current Projection,Full Year,2023-09-30,Finance: Reg #32,35-R32,
Finance-Recession and Inflation Reserve and Reopening,54000000,2024,Current Projection,Full Year,2023-09-30,Finance: Recession Reserve,35-RR,
Finance-Community College Subsidy,51003181,2024,Current Projection,Full Year,2023-09-30,Finance: Community College Subsidy,35-CC,
Finance -Employee Benefits,1660996026,2024,Current Projection,Full Year,2023-09-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Unemployment Compensation,4468204,2024,Current Projection,Full Year,2023-09-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
Employee Benefits: COVID-19 Funeral Expense,0,2024,Current Projection,Full Year,2023-09-30,Employee Benefits: COVID-19 Funeral Costs,35-COVID,
Employee Benefits: Employee Disability,96192786,2024,Current Projection,Full Year,2023-09-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: Pension Obligation Bonds,135971945,2024,Current Projection,Full Year,2023-09-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,
Employee Benefits: Pension,732218172,2024,Current Projection,Full Year,2023-09-30,Employee Benefits: Pension,35-EB-PEN,
Employee Benefits: FICA,98247674,2024,Current Projection,Full Year,2023-09-30,Employee Benefits: FICA,35-EB-FICA,
Employee Benefits: Flex Cash Payments,1688628,2024,Current Projection,Full Year,2023-09-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,
Employee Benefits: Health / Medical,576660058,2024,Current Projection,Full Year,2023-09-30,Employee Benefits: Health/Medical,35-EB-HM,
Employee Benefits: Group Life Insurance,8760382,2024,Current Projection,Full Year,2023-09-30,Employee Benefits: Group Life Insurance,35-EB-GLI,
Employee Benefits: Group Legal,6438177,2024,Current Projection,Full Year,2023-09-30,Employee Benefits: Group Legal,35-EB-GL,
Employee Benefits: Tool Allowance,350000,2024,Current Projection,Full Year,2023-09-30,Employee Benefits: Tool Allowance,35-EB-TA,
Finance-Hero Scholarship Awards,50000,2024,Current Projection,Full Year,2023-09-30,Finance: Hero Scholarship Awards,35-HA,
Finance-Payment to Housing Trust Fund,30612698,2024,Current Projection,Full Year,2023-09-30,Finance: Housing Trust Fund,35-HTF,
Finance-Indemnities A,61246000,2024,Current Projection,Full Year,2023-09-30,Finance: Indemnities,35-IN,
Finance-Refunds,750000,2024,Current Projection,Full Year,2023-09-30,Finance: Refunds,35-R,
Finance-School District Contribution,282052590,2024,Current Projection,Full Year,2023-09-30,Finance: School District Contribution,35-SD,
Finance-Witness Fees,330094,2024,Current Projection,Full Year,2023-09-30,Finance: Witness Fees,35-WF,
Fire,402090784,2024,Current Projection,Full Year,2023-09-30,Fire Department,13,Fire
First Judicial District,129152430,2024,Current Projection,Full Year,2023-09-30,First Judicial District,84,FJD
Fleet Services,56753706,2024,Current Projection,Full Year,2023-09-30,Office of Fleet Management,25,Fleet
Fleet Services Vehicle Purchases,25359245,2024,Current Projection,Full Year,2023-09-30,Fleet: Vehicle Lease/Purchases,25-V,
Free Library,70934523,2024,Current Projection,Full Year,2023-09-30,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,2756401,2024,Current Projection,Full Year,2023-09-30,Commission on Human Relations,54,Human Relations
Human Services,219709887,2024,Current Projection,Full Year,2023-09-30,Department of Human Services,22,DHS
Labor,5122731,2024,Current Projection,Full Year,2023-09-30,Labor,03,
Law,31054870,2024,Current Projection,Full Year,2023-09-30,Law Department,44,Law
Licenses & Inspections,44176201,2024,Current Projection,Full Year,2023-09-30,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,86609,2024,Current Projection,Full Year,2023-09-30,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,182543,2024,Current Projection,Full Year,2023-09-30,L&I: Board of Review,27,
Managing Director-Base,189831965,2024,Current Projection,Full Year,2023-09-30,Managing Director's Office,10,MDO
Managing Director-Citizens Police Oversight Commission,3023642,2024,Current Projection,Full Year,2023-09-30,MDO: Citizens Police Oversight Commission,10-CP,
Managing Director-Defender Association,63997780,2024,Current Projection,Full Year,2023-09-30,MDO: Legal Services,10-LS,
Mayor's Office,8167744,2024,Current Projection,Full Year,2023-09-30,Mayor's Office,05,Mayor
Mayor's Office-Scholarships,100000,2024,Current Projection,Full Year,2023-09-30,Mayor's Office: Scholarships,05-S,
Mayor's Office-Comm. Empowerment & Opp.,3449909,2024,Current Projection,Full Year,2023-09-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,3683320,2024,Current Projection,Full Year,2023-09-30,Mural Arts Program,50,Mural Arts
Office of Behavioral HIth & Intellectual disAbility,29024448,2024,Current Projection,Full Year,2023-09-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,19036819,2024,Current Projection,Full Year,2023-09-30,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,481098,2024,Current Projection,Full Year,2023-09-30,Office of Children and Families,66,OCF
Office of Homeless Services,96656703,2024,Current Projection,Full Year,2023-09-30,Office of Homeless Services,24,OHS
Office of Human Resources,13594756,2024,Current Projection,Full Year,2023-09-30,Office of Human Resources,56,OHR
Office of Innovation and Technology-Base,97015805,2024,Current Projection,Full Year,2023-09-30,Office of Innovation and Technology,04,OIT
Office of Innovation and Technology-911,31855521,2024,Current Projection,Full Year,2023-09-30,OIT: 911,04-911,
Office of the Inspector General,2346548,2024,Current Projection,Full Year,2023-09-30,Office of the Inspector General,48,OIG
Office of Property Assessment,18310182,2024,Current Projection,Full Year,2023-09-30,Office of Property Assessment,59,OPA
Office of Sustainability,3381513,2024,Current Projection,Full Year,2023-09-30,Office of Sustainability,49,Sustainability
Parks and Recreation,80565097,2024,Current Projection,Full Year,2023-09-30,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,35404422,2024,Current Projection,Full Year,2023-09-30,Department of Planning and Development,72,Planning & Development
Police,855831761,2024,Current Projection,Full Year,2023-09-30,Police Department,11,Police
Prisons,302768812,2024,Current Projection,Full Year,2023-09-30,Philadelphia Prison System,23,Prisons
Procurement,7235722,2024,Current Projection,Full Year,2023-09-30,Procurement Department,38,Procurement
Public Health,153736320,2024,Current Projection,Full Year,2023-09-30,Department of Public Health,14,Public Health
Public Property,96719573,2024,Current Projection,Full Year,2023-09-30,Department of Public Property,20,Public Property
Public Property-SEPTA Subsidy,109567000,2024,Current Projection,Full Year,2023-09-30,Public Property: SEPTA Subsidy,20-SS,
Public Property-Space Rentals,37598243,2024,Current Projection,Full Year,2023-09-30,Public Property: Space Rentals,20-SR,
Public Property-Utilities,31162103,2024,Current Projection,Full Year,2023-09-30,Public Property: Utilities,20-U,
Records,4843151,2024,Current Projection,Full Year,2023-09-30,Department of Records,31,Records
Register of Wills,5024798,2024,Current Projection,Full Year,2023-09-30,Register of Wills,68,
Revenue,28854507,2024,Current Projection,Full Year,2023-09-30,Department of Revenue,36,Revenue
Sheriff,34166448,2024,Current Projection,Full Year,2023-09-30,Office of the Sheriff,70,Sheriff
Sinking Fund Commission (Debt Service),324217521,2024,Current Projection,Full Year,2023-09-30,Sinking Fund Commission,37,Sinking Fund
Streets-Disposal,55178274,2024,Current Projection,Full Year,2023-09-30,Streets: Disposal,12-D,
Streets,106054246,2024,Current Projection,Full Year,2023-09-30,Streets Department,12,Streets
