dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Office of Behavioral HIth & Intellectual disAbility,Total,266,0,2024,Actual,Full Year,2024-06-30,266,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,Total,73,0,2024,Actual,Full Year,2024-06-30,73,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,Total,5,0,2024,Actual,Full Year,2024-06-30,5,Office of Children and Families,66,OCF
Office of Homeless Services,Total,129,0,2024,Actual,Full Year,2024-06-30,129,Office of Homeless Services,24,OHS
Office of Human Resources,Total,82,0,2024,Actual,Full Year,2024-06-30,82,Office of Human Resources,56,OHR
Office of Innovation and Technology,Total,455,0,2024,Actual,Full Year,2024-06-30,455,Office of Innovation and Technology,04,OIT
Office of the Inspector General,Total,18,0,2024,Actual,Full Year,2024-06-30,18,Office of the Inspector General,48,OIG
Office of Property Assessment,Total,182,0,2024,Actual,Full Year,2024-06-30,182,Office of Property Assessment,59,OPA
Office of Sustainability,Total,20,0,2024,Actual,Full Year,2024-06-30,20,Office of Sustainability,49,Sustainability
Parks and Recreation,Total,703,0,2024,Actual,Full Year,2024-06-30,703,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,Total,128,0,2024,Actual,Full Year,2024-06-30,128,Department of Planning and Development,72,Planning & Development
Prisons,Total,1312,0,2024,Actual,Full Year,2024-06-30,1312,Philadelphia Prison System,23,Prisons
Procurement,Total,36,0,2024,Actual,Full Year,2024-06-30,36,Procurement Department,38,Procurement
Public Health,Total,858,0,2024,Actual,Full Year,2024-06-30,858,Department of Public Health,14,Public Health
Public Property,Total,119,0,2024,Actual,Full Year,2024-06-30,119,Department of Public Property,20,Public Property
Records,Total,53,0,2024,Actual,Full Year,2024-06-30,53,Department of Records,31,Records
Register of Wills,Total,63,0,2024,Actual,Full Year,2024-06-30,63,Register of Wills,68,
Revenue,Total,497,0,2024,Actual,Full Year,2024-06-30,497,Department of Revenue,36,Revenue
Sheriff,Total,328,0,2024,Actual,Full Year,2024-06-30,328,Office of the Sheriff,70,Sheriff
Streets,Total,2070,0,2024,Actual,Full Year,2024-06-30,2070,Streets Department,12,Streets
Water,Total,1991,0,2024,Actual,Full Year,2024-06-30,1991,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",Total,0,0,2024,Actual,Full Year,2024-06-30,0,"Water, Sewer, and Stormwater Rate Board",67,
Police,General,801,5550,2024,Actual,Full Year,2024-06-30,6351,Police Department,11,Police
Police,Other,7,117,2024,Actual,Full Year,2024-06-30,124,Police Department,11,Police
Police,Total,808,5667,2024,Actual,Full Year,2024-06-30,6475,Police Department,11,Police
Fire,General,133,2661,2024,Actual,Full Year,2024-06-30,2794,Fire Department,13,Fire
Fire,Other,10,67,2024,Actual,Full Year,2024-06-30,77,Fire Department,13,Fire
Fire,Total,143,2728,2024,Actual,Full Year,2024-06-30,2871,Fire Department,13,Fire
District Attorney,General,541,32,2024,Actual,Full Year,2024-06-30,573,District Attorney's Office,69,DAO
District Attorney,Other,103,5,2024,Actual,Full Year,2024-06-30,108,District Attorney's Office,69,DAO
District Attorney,Total,644,37,2024,Actual,Full Year,2024-06-30,681,District Attorney's Office,69,DAO
Auditing (City Controller's Office),General,135,0,2025,Adopted Budget,Full Year,,135,City Controller's Office,61,
Aviation (1),General,0,0,2025,Adopted Budget,Full Year,,0,Division of Aviation,43,Aviation
Board of Ethics,General,14,0,2025,Adopted Budget,Full Year,,14,Board of Ethics,45,
Board of Pensions,General,0,0,2025,Adopted Budget,Full Year,,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,16,0,2025,Adopted Budget,Full Year,,16,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,187,0,2025,Adopted Budget,Full Year,,187,City Commissioner's Office,73,City Commissioners
City Council,General,185,0,2025,Adopted Budget,Full Year,,185,City Council,01,
City Treasurer,General,22,0,2025,Adopted Budget,Full Year,,22,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2025,Adopted Budget,Full Year,,2,Civil Service Commission,55,
Commerce,General,80,0,2025,Adopted Budget,Full Year,,80,Office of the Director of Commerce,42,Commerce
Finance,General,139,0,2025,Adopted Budget,Full Year,,139,Office of the Director of Finance,35,Finance
First Judicial District,General,1720,0,2025,Adopted Budget,Full Year,,1720,First Judicial District,84,FJD
Fleet Services,General,319,0,2025,Adopted Budget,Full Year,,319,Office of Fleet Management,25,Fleet
Free Library,General,1009,0,2025,Adopted Budget,Full Year,,1009,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,General,34,0,2025,Adopted Budget,Full Year,,34,Commission on Human Relations,54,Human Relations
Human Services (2),General,538,0,2025,Adopted Budget,Full Year,,538,Department of Human Services,22,DHS
Labor,General,52,0,2025,Adopted Budget,Full Year,,52,Labor,03,
Law,General,205,0,2025,Adopted Budget,Full Year,,205,Law Department,44,Law
Licenses & Inspections,General,430,0,2025,Adopted Budget,Full Year,,430,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2025,Adopted Budget,Full Year,,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,General,2,0,2025,Adopted Budget,Full Year,,2,L&I: Board of Review,27,
Managing Director's Office,General,501,0,2025,Adopted Budget,Full Year,,501,Managing Director's Office,10,MDO
Mayor's Office,General,45,0,2025,Adopted Budget,Full Year,,45,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,20,0,2025,Adopted Budget,Full Year,,20,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,General,10,0,2025,Adopted Budget,Full Year,,10,Mural Arts Program,50,Mural Arts
Office of Behavioral HIth & Intellectual disAbility,General,53,0,2025,Adopted Budget,Full Year,,53,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,General,76,0,2025,Adopted Budget,Full Year,,76,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,General,3,0,2025,Adopted Budget,Full Year,,3,Office of Children and Families,66,OCF
Office of Homeless Services,General,149,0,2025,Adopted Budget,Full Year,,149,Office of Homeless Services,24,OHS
Office of Human Resources,General,96,0,2025,Adopted Budget,Full Year,,96,Office of Human Resources,56,OHR
Office of Innovation and Technology,General,398,0,2025,Adopted Budget,Full Year,,398,Office of Innovation and Technology,04,OIT
Office of the Inspector General,General,26,0,2025,Adopted Budget,Full Year,,26,Office of the Inspector General,48,OIG
Office of Property Assessment,General,226,0,2025,Adopted Budget,Full Year,,226,Office of Property Assessment,59,OPA
Office of Sustainability,General,23,0,2025,Adopted Budget,Full Year,,23,Office of Sustainability,49,Sustainability
Parks and Recreation,General,945,0,2025,Adopted Budget,Full Year,,945,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,General,83,0,2025,Adopted Budget,Full Year,,83,Department of Planning and Development,72,Planning & Development
Prisons,General,2186,0,2025,Adopted Budget,Full Year,,2186,Philadelphia Prison System,23,Prisons
Procurement,General,54,0,2025,Adopted Budget,Full Year,,54,Procurement Department,38,Procurement
Public Health,General,864,0,2025,Adopted Budget,Full Year,,864,Department of Public Health,14,Public Health
Public Property,General,176,0,2025,Adopted Budget,Full Year,,176,Department of Public Property,20,Public Property
Records,General,60,0,2025,Adopted Budget,Full Year,,60,Department of Records,31,Records
Register of Wills,General,73,0,2025,Adopted Budget,Full Year,,73,Register of Wills,68,
Revenue,General,401,0,2025,Adopted Budget,Full Year,,401,Department of Revenue,36,Revenue
Sheriff,General,459,0,2025,Adopted Budget,Full Year,,459,Office of the Sheriff,70,Sheriff
Streets,General,1688,0,2025,Adopted Budget,Full Year,,1688,Streets Department,12,Streets
Water,General,0,0,2025,Adopted Budget,Full Year,,0,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",General,0,0,2025,Adopted Budget,Full Year,,0,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Other,0,0,2025,Adopted Budget,Full Year,,0,City Controller's Office,61,
Aviation (1),Other,840,0,2025,Adopted Budget,Full Year,,840,Division of Aviation,43,Aviation
Board of Ethics,Other,0,0,2025,Adopted Budget,Full Year,,0,Board of Ethics,45,
Board of Pensions,Other,73,0,2025,Adopted Budget,Full Year,,73,Board of Pensions,53,Pensions
Board of Revision of Taxes,Other,0,0,2025,Adopted Budget,Full Year,,0,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Other,0,0,2025,Adopted Budget,Full Year,,0,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2025,Adopted Budget,Full Year,,0,City Council,01,
City Treasurer,Other,0,0,2025,Adopted Budget,Full Year,,0,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2025,Adopted Budget,Full Year,,0,Civil Service Commission,55,
Commerce,Other,22,0,2025,Adopted Budget,Full Year,,22,Office of the Director of Commerce,42,Commerce
Finance,Other,0,0,2025,Adopted Budget,Full Year,,0,Office of the Director of Finance,35,Finance
First Judicial District,Other,457,0,2025,Adopted Budget,Full Year,,457,First Judicial District,84,FJD
Fleet Services,Other,84,0,2025,Adopted Budget,Full Year,,84,Office of Fleet Management,25,Fleet
Free Library,Other,14,0,2025,Adopted Budget,Full Year,,14,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Other,0,0,2025,Adopted Budget,Full Year,,0,Commission on Human Relations,54,Human Relations
Human Services (2),Other,1351,0,2025,Adopted Budget,Full Year,,1351,Department of Human Services,22,DHS
Labor,Other,0,0,2025,Adopted Budget,Full Year,,0,Labor,03,
Law,Other,55,0,2025,Adopted Budget,Full Year,,55,Law Department,44,Law
Licenses & Inspections,Other,8,0,2025,Adopted Budget,Full Year,,8,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,Other,0,0,2025,Adopted Budget,Full Year,,0,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,Other,0,0,2025,Adopted Budget,Full Year,,0,L&I: Board of Review,27,
Managing Director's Office,Other,98,0,2025,Adopted Budget,Full Year,,98,Managing Director's Office,10,MDO
Mayor's Office,Other,0,0,2025,Adopted Budget,Full Year,,0,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,Other,47,0,2025,Adopted Budget,Full Year,,47,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,Other,0,0,2025,Adopted Budget,Full Year,,0,Mural Arts Program,50,Mural Arts
Office of Behavioral HIth & Intellectual disAbility,Other,280,0,2025,Adopted Budget,Full Year,,280,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,Other,0,0,2025,Adopted Budget,Full Year,,0,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,Other,0,0,2025,Adopted Budget,Full Year,,0,Office of Children and Families,66,OCF
Office of Homeless Services,Other,40,0,2025,Adopted Budget,Full Year,,40,Office of Homeless Services,24,OHS
Office of Human Resources,Other,0,0,2025,Adopted Budget,Full Year,,0,Office of Human Resources,56,OHR
Office of Innovation and Technology,Other,159,0,2025,Adopted Budget,Full Year,,159,Office of Innovation and Technology,04,OIT
Office of the Inspector General,Other,0,0,2025,Adopted Budget,Full Year,,0,Office of the Inspector General,48,OIG
Office of Property Assessment,Other,0,0,2025,Adopted Budget,Full Year,,0,Office of Property Assessment,59,OPA
Office of Sustainability,Other,1,0,2025,Adopted Budget,Full Year,,1,Office of Sustainability,49,Sustainability
Parks and Recreation,Other,32,0,2025,Adopted Budget,Full Year,,32,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,Other,67,0,2025,Adopted Budget,Full Year,,67,Department of Planning and Development,72,Planning & Development
Prisons,Other,0,0,2025,Adopted Budget,Full Year,,0,Philadelphia Prison System,23,Prisons
Procurement,Other,2,0,2025,Adopted Budget,Full Year,,2,Procurement Department,38,Procurement
Public Health,Other,217,0,2025,Adopted Budget,Full Year,,217,Department of Public Health,14,Public Health
Public Property,Other,0,0,2025,Adopted Budget,Full Year,,0,Department of Public Property,20,Public Property
Records,Other,0,0,2025,Adopted Budget,Full Year,,0,Department of Records,31,Records
Register of Wills,Other,0,0,2025,Adopted Budget,Full Year,,0,Register of Wills,68,
Revenue,Other,221,0,2025,Adopted Budget,Full Year,,221,Department of Revenue,36,Revenue
Sheriff,Other,0,0,2025,Adopted Budget,Full Year,,0,Office of the Sheriff,70,Sheriff
Streets,Other,809,0,2025,Adopted Budget,Full Year,,809,Streets Department,12,Streets
Water,Other,2505,0,2025,Adopted Budget,Full Year,,2505,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",Other,1,0,2025,Adopted Budget,Full Year,,1,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Total,135,0,2025,Adopted Budget,Full Year,,135,City Controller's Office,61,
Aviation (1),Total,840,0,2025,Adopted Budget,Full Year,,840,Division of Aviation,43,Aviation
Board of Ethics,Total,14,0,2025,Adopted Budget,Full Year,,14,Board of Ethics,45,
Board of Pensions,Total,73,0,2025,Adopted Budget,Full Year,,73,Board of Pensions,53,Pensions
Board of Revision of Taxes,Total,16,0,2025,Adopted Budget,Full Year,,16,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Total,187,0,2025,Adopted Budget,Full Year,,187,City Commissioner's Office,73,City Commissioners
City Council,Total,185,0,2025,Adopted Budget,Full Year,,185,City Council,01,
City Treasurer,Total,22,0,2025,Adopted Budget,Full Year,,22,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Total,2,0,2025,Adopted Budget,Full Year,,2,Civil Service Commission,55,
Commerce,Total,102,0,2025,Adopted Budget,Full Year,,102,Office of the Director of Commerce,42,Commerce
Finance,Total,139,0,2025,Adopted Budget,Full Year,,139,Office of the Director of Finance,35,Finance
First Judicial District,Total,2177,0,2025,Adopted Budget,Full Year,,2177,First Judicial District,84,FJD
Fleet Services,Total,403,0,2025,Adopted Budget,Full Year,,403,Office of Fleet Management,25,Fleet
Free Library,Total,1023,0,2025,Adopted Budget,Full Year,,1023,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Total,34,0,2025,Adopted Budget,Full Year,,34,Commission on Human Relations,54,Human Relations
Human Services (2),Total,1889,0,2025,Adopted Budget,Full Year,,1889,Department of Human Services,22,DHS
Labor,Total,52,0,2025,Adopted Budget,Full Year,,52,Labor,03,
Law,Total,260,0,2025,Adopted Budget,Full Year,,260,Law Department,44,Law
Licenses & Inspections,Total,438,0,2025,Adopted Budget,Full Year,,438,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,Total,1,0,2025,Adopted Budget,Full Year,,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,Total,2,0,2025,Adopted Budget,Full Year,,2,L&I: Board of Review,27,
Managing Director's Office,Total,599,0,2025,Adopted Budget,Full Year,,599,Managing Director's Office,10,MDO
Mayor's Office,Total,45,0,2025,Adopted Budget,Full Year,,45,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,Total,67,0,2025,Adopted Budget,Full Year,,67,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,Total,10,0,2025,Adopted Budget,Full Year,,10,Mural Arts Program,50,Mural Arts
Office of Behavioral HIth & Intellectual disAbility,Total,333,0,2025,Adopted Budget,Full Year,,333,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,Total,76,0,2025,Adopted Budget,Full Year,,76,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,Total,3,0,2025,Adopted Budget,Full Year,,3,Office of Children and Families,66,OCF
Office of Homeless Services,Total,189,0,2025,Adopted Budget,Full Year,,189,Office of Homeless Services,24,OHS
Office of Human Resources,Total,96,0,2025,Adopted Budget,Full Year,,96,Office of Human Resources,56,OHR
Office of Innovation and Technology,Total,557,0,2025,Adopted Budget,Full Year,,557,Office of Innovation and Technology,04,OIT
Office of the Inspector General,Total,26,0,2025,Adopted Budget,Full Year,,26,Office of the Inspector General,48,OIG
Office of Property Assessment,Total,226,0,2025,Adopted Budget,Full Year,,226,Office of Property Assessment,59,OPA
Office of Sustainability,Total,24,0,2025,Adopted Budget,Full Year,,24,Office of Sustainability,49,Sustainability
Parks and Recreation,Total,977,0,2025,Adopted Budget,Full Year,,977,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,Total,150,0,2025,Adopted Budget,Full Year,,150,Department of Planning and Development,72,Planning & Development
Prisons,Total,2186,0,2025,Adopted Budget,Full Year,,2186,Philadelphia Prison System,23,Prisons
Procurement,Total,56,0,2025,Adopted Budget,Full Year,,56,Procurement Department,38,Procurement
Public Health,Total,1081,0,2025,Adopted Budget,Full Year,,1081,Department of Public Health,14,Public Health
Public Property,Total,176,0,2025,Adopted Budget,Full Year,,176,Department of Public Property,20,Public Property
Records,Total,60,0,2025,Adopted Budget,Full Year,,60,Department of Records,31,Records
Register of Wills,Total,73,0,2025,Adopted Budget,Full Year,,73,Register of Wills,68,
Revenue,Total,622,0,2025,Adopted Budget,Full Year,,622,Department of Revenue,36,Revenue
Sheriff,Total,459,0,2025,Adopted Budget,Full Year,,459,Office of the Sheriff,70,Sheriff
Streets,Total,2497,0,2025,Adopted Budget,Full Year,,2497,Streets Department,12,Streets
Water,Total,2505,0,2025,Adopted Budget,Full Year,,2505,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",Total,1,0,2025,Adopted Budget,Full Year,,1,"Water, Sewer, and Stormwater Rate Board",67,
Police,General,1103,6380,2025,Adopted Budget,Full Year,,7483,Police Department,11,Police
Police,Other,131,142,2025,Adopted Budget,Full Year,,273,Police Department,11,Police
Police,Total,1234,6522,2025,Adopted Budget,Full Year,,7756,Police Department,11,Police
Fire,General,177,3215,2025,Adopted Budget,Full Year,,3392,Fire Department,13,Fire
Fire,Other,1,84,2025,Adopted Budget,Full Year,,85,Fire Department,13,Fire
Fire,Total,178,3299,2025,Adopted Budget,Full Year,,3477,Fire Department,13,Fire
District Attorney,General,572,33,2025,Adopted Budget,Full Year,,605,District Attorney's Office,69,DAO
District Attorney,Other,97,8,2025,Adopted Budget,Full Year,,105,District Attorney's Office,69,DAO
District Attorney,Total,669,41,2025,Adopted Budget,Full Year,,710,District Attorney's Office,69,DAO
